,pv,el,ev,dam_price
2024-07-18 17:00:00,0.2078,0.323193512092427,0.7422360248845677,45.07
2024-07-18 18:00:00,0.08940000000000001,0.7380217429378607,0.9999999999999997,105.05
2024-07-18 19:00:00,0.0294,0.864494004967859,0.9472049688942896,318.79
2024-07-18 20:00:00,0.0009,0.38415348299455054,0.7732919253462956,204.94
2024-07-18 21:00:00,0.0,0.38692410522773835,0.5155279502308637,169.89
2024-07-18 22:00:00,0.0,0.33399207591830826,0.34161490668286965,124.0
2024-07-18 23:00:00,0.0,0.22466979138456525,0.2826086953931647,105.2
2024-07-19 00:00:00,0.0,0.19820377661773578,0.19875776394028866,98.4
2024-07-19 01:00:00,0.0,0.18867601134203835,0.28260869550772644,87.2
2024-07-19 02:00:00,0.0,0.1802068866525295,0.13975155287970714,83.7
2024-07-19 03:00:00,0.0,0.1802068866525295,0.08385093168199959,79.86
2024-07-19 04:00:00,0.0105,0.18867601134203835,0.05590062108314578,65.0
2024-07-19 05:00:00,0.0444,0.28847053071219836,0.05590062096858401,96.35
2024-07-19 06:00:00,0.18080000000000002,0.6240938593790986,0.05279503110571002,149.92
2024-07-19 07:00:00,0.37110000000000004,0.23850226519733886,0.08385093179656132,169.91
2024-07-19 08:00:00,0.565,0.1331306184396298,0.12732919253462957,123.9
2024-07-19 09:00:00,0.7387,0.1331306184396298,0.14906832294948838,104.0
2024-07-19 10:00:00,0.8517,0.1236028531639324,0.198757763963201,75.7
2024-07-19 11:00:00,0.8577,0.1236028531639324,0.33850931672834633,67.2
2024-07-19 12:00:00,0.8316,0.5951052638023994,0.5714285714285713,41.6
2024-07-19 13:00:00,0.7197,0.21203625058746955,0.5124223600930415,8.7
2024-07-19 14:00:00,0.5638,0.1236028531639324,0.3105590061294925,6.83
2024-07-19 15:00:00,0.4955,0.1394824619567614,0.28260869553063883,34.93
2024-07-19 16:00:00,0.3387,0.20300089712807753,0.39751552778892785,33.0
